username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
KissAFallinStar,,,31,23,2437,2020-03-24 22:43:43,2020-09-02 07:42:55,12,Blessing your timeline with some Emilia Clarke 😍 #GameOfThrones #SoloAStarWarsStory #DaenerysTargaryen https://t.co/rMnYFjXGk2,"[{'text': 'GameOfThrones', 'indices': [67, 81]}, {'text': 'SoloAStarWarsStory', 'indices': [82, 101]}, {'text': 'DaenerysTargaryen', 'indices': [102, 120]}]"
JonnyTran54,,,35,25,1252,2020-06-26 11:50:05,2020-09-02 07:38:39,12,Blessing your timeline with some Emilia Clarke 😍 #GameOfThrones #SoloAStarWarsStory #DaenerysTargaryen https://t.co/rMnYFjXGk2,"[{'text': 'GameOfThrones', 'indices': [67, 81]}, {'text': 'SoloAStarWarsStory', 'indices': [82, 101]}, {'text': 'DaenerysTargaryen', 'indices': [102, 120]}]"
Jonny6Prince,,,27,20,2085,2020-05-03 08:23:39,2020-09-02 07:34:01,12,Blessing your timeline with some Emilia Clarke 😍 #GameOfThrones #SoloAStarWarsStory #DaenerysTargaryen https://t.co/rMnYFjXGk2,"[{'text': 'GameOfThrones', 'indices': [67, 81]}, {'text': 'SoloAStarWarsStory', 'indices': [82, 101]}, {'text': 'DaenerysTargaryen', 'indices': [102, 120]}]"
Jonny6King,,,37,27,2089,2020-05-03 03:45:08,2020-09-02 07:27:28,12,Blessing your timeline with some Emilia Clarke 😍 #GameOfThrones #SoloAStarWarsStory #DaenerysTargaryen https://t.co/rMnYFjXGk2,"[{'text': 'GameOfThrones', 'indices': [67, 81]}, {'text': 'SoloAStarWarsStory', 'indices': [82, 101]}, {'text': 'DaenerysTargaryen', 'indices': [102, 120]}]"
JonnyLeTran7,Back up account for @JonnyLetran5 and @JonnyLeTran6 I’m not Hailee Steinfeld,,168,111,2572,2020-03-24 04:58:23,2020-09-02 07:18:14,12,Blessing your timeline with some Emilia Clarke 😍 #GameOfThrones #SoloAStarWarsStory #DaenerysTargaryen https://t.co/rMnYFjXGk2,"[{'text': 'GameOfThrones', 'indices': [67, 81]}, {'text': 'SoloAStarWarsStory', 'indices': [82, 101]}, {'text': 'DaenerysTargaryen', 'indices': [102, 120]}]"
RhaenaT,"🥺

20   ⚢ She/Her",,117,143,12849,2018-10-29 17:27:16,2020-09-02 07:14:03,157,"I know I'm so slow but Finally done. Wisteria match her eyes And glad to see Viserion and his brothers is getting bigger (even if it's hard to draw😭) 
#DaenerysTargaryen https://t.co/UwqRxsFQ6T",[]
influencermai,,,47,2,398,2018-05-11 02:26:28,2020-09-02 06:56:28,157,"I know I'm so slow but Finally done. Wisteria match her eyes And glad to see Viserion and his brothers is getting bigger (even if it's hard to draw😭) 
#DaenerysTargaryen https://t.co/UwqRxsFQ6T",[]
DGabriellaL,Adele Bette Davis JLaw Simone Biles Aishwarya | Multifandom | 🎥🎞 | Ñoldor | House Targaryen | 007 | LOTR | JRRT | MY 🇲🇾,Middle-earth,134,366,27747,2014-11-27 00:47:14,2020-09-02 06:40:56,157,"I know I'm so slow but Finally done. Wisteria match her eyes And glad to see Viserion and his brothers is getting bigger (even if it's hard to draw😭) 
#DaenerysTargaryen https://t.co/UwqRxsFQ6T",[]
harpsexual,"Lana, 19 🇸🇮
ASOIAF central",,27,10,857,2020-07-28 18:38:17,2020-09-02 06:37:33,157,"I know I'm so slow but Finally done. Wisteria match her eyes And glad to see Viserion and his brothers is getting bigger (even if it's hard to draw😭) 
#DaenerysTargaryen https://t.co/UwqRxsFQ6T",[]
vaporbabe,"name: becks • ace lesbian, she / her • 20 • estj • capricorn ☀️ / pisces 🌑 / aries rising • I radiate “raised catholic” energy • we drift compatible?",acab || blm || revolution now,113,54,7811,2016-05-23 00:04:15,2020-09-02 06:05:13,157,"I know I'm so slow but Finally done. Wisteria match her eyes And glad to see Viserion and his brothers is getting bigger (even if it's hard to draw😭) 
#DaenerysTargaryen https://t.co/UwqRxsFQ6T",[]
KoltonLadner,he/him/his satanic majesty,228,156,167,8602,2017-03-08 10:44:49,2020-09-02 06:03:26,157,"I know I'm so slow but Finally done. Wisteria match her eyes And glad to see Viserion and his brothers is getting bigger (even if it's hard to draw😭) 
#DaenerysTargaryen https://t.co/UwqRxsFQ6T",[]
ramirosmh,not all men are meant to dance with dragons | ➰,Dressrosa,309,337,16819,2013-06-28 03:05:52,2020-09-02 06:02:14,157,"I know I'm so slow but Finally done. Wisteria match her eyes And glad to see Viserion and his brothers is getting bigger (even if it's hard to draw😭) 
#DaenerysTargaryen https://t.co/UwqRxsFQ6T",[]
asshaii,"at the end a dragon hatches from an egg and devours all of the lions (this is a fan account: asoiaf, hp, atla, himym, folk of the air) #blacklivesmatter","she/her , 20 , avi:almanemes",1195,1206,28997,2016-01-01 15:38:49,2020-09-02 05:58:30,157,"I know I'm so slow but Finally done. Wisteria match her eyes And glad to see Viserion and his brothers is getting bigger (even if it's hard to draw😭) 
#DaenerysTargaryen https://t.co/UwqRxsFQ6T",[]
queensdaenerys,i am vengeance. ♌️,dragonstone,298,1583,153356,2013-03-27 05:29:20,2020-09-02 05:57:57,157,"I know I'm so slow but Finally done. Wisteria match her eyes And glad to see Viserion and his brothers is getting bigger (even if it's hard to draw😭) 
#DaenerysTargaryen https://t.co/UwqRxsFQ6T",[]
FMAkhaleesi,Rachel K | Daenerys Defender First and human being second | Arts and Technology graduate from UT Dallas with a focus in Pre-Production,"Texas, USA",327,560,12958,2013-07-22 23:25:35,2020-09-02 05:52:15,157,"I know I'm so slow but Finally done. Wisteria match her eyes And glad to see Viserion and his brothers is getting bigger (even if it's hard to draw😭) 
#DaenerysTargaryen https://t.co/UwqRxsFQ6T",[]
MeztliLuu,Let go of all your haunted dreams tonight💫,,127,39,1455,2020-02-04 00:38:10,2020-09-02 05:47:22,157,"I know I'm so slow but Finally done. Wisteria match her eyes And glad to see Viserion and his brothers is getting bigger (even if it's hard to draw😭) 
#DaenerysTargaryen https://t.co/UwqRxsFQ6T",[]
saberfaces,jem • isfj // red dead redemption | witcher | bioshock | dbd | spider-man | got,,406,66,21988,2010-02-01 23:14:42,2020-09-02 05:46:43,81,"#DaenerysTargaryen 
Imitate Musha's style and try to make a series(I will try my best).Only for dany.

#IStandByDaenerys https://t.co/jCoa0TZApE","[{'text': 'DaenerysTargaryen', 'indices': [13, 31]}, {'text': 'IStandByDaenerys', 'indices': [116, 133]}]"
saberfaces,jem • isfj // red dead redemption | witcher | bioshock | dbd | spider-man | got,,406,66,21988,2010-02-01 23:14:42,2020-09-02 05:46:31,106,"Continue.For Mother of Dragons.
#DaenerysTargaryen https://t.co/EADdRs7pa1","[{'text': 'DaenerysTargaryen', 'indices': [45, 63]}]"
saberfaces,jem • isfj // red dead redemption | witcher | bioshock | dbd | spider-man | got,,406,66,21988,2010-02-01 23:14:42,2020-09-02 05:46:23,121,"Finally completed.
S2 Favorite clothes, favorite expressions, and our cutest sons😊😊
#DaenerysTargaryen https://t.co/KKf65TeLG4","[{'text': 'DaenerysTargaryen', 'indices': [97, 115]}]"
saberfaces,jem • isfj // red dead redemption | witcher | bioshock | dbd | spider-man | got,,406,66,21988,2010-02-01 23:14:42,2020-09-02 05:46:16,132,"Finally finished. Many changes were made midway, and it took too long. Because I think the scene of this dress should be full of powerful. Love Daenerys and Emilia forever 😊
#DaenerysTargaryen https://t.co/SDbk1Fb2MD",[]
saberfaces,jem • isfj // red dead redemption | witcher | bioshock | dbd | spider-man | got,,406,66,21988,2010-02-01 23:14:42,2020-09-02 05:45:49,157,"I know I'm so slow but Finally done. Wisteria match her eyes And glad to see Viserion and his brothers is getting bigger (even if it's hard to draw😭) 
#DaenerysTargaryen https://t.co/UwqRxsFQ6T",[]
ASOlAFdany,dany told herself that the stars would be enough. • icon credit: https://t.co/dOiYfMQGAr,dothraki sea → vaes dothrak 🍋,82,3074,4522,2018-06-19 01:30:10,2020-09-02 05:42:52,157,"I know I'm so slow but Finally done. Wisteria match her eyes And glad to see Viserion and his brothers is getting bigger (even if it's hard to draw😭) 
#DaenerysTargaryen https://t.co/UwqRxsFQ6T",[]
sqrt_0,Могу себе позволить...,,17,5,25,2015-12-03 19:13:41,2020-09-02 05:08:21,2,"Game Of Thrones • Indecision 
 
""- You're a Targaryen, the Mother of Dragons.
- I need to be more than that.""

#GameOfThrones s.4
#DaenerysTargaryen me🤍
Photo @kmitenkova
 
#daenerys #daeneryscosplay #gameofthronescosplay

@HBO @GameOfThrones @emiliaclarke https://t.co/qzRAhbNZiN",[]
mcrandley,"Father, lawyer, husband to @MrsCrandley, follower of #appellatetwitter, and purveyor of the finest Dad jokes this side of the Mississippi.","Indianapolis, IN",1534,896,16867,2009-04-25 03:43:44,2020-09-02 02:51:23,0,@BryndenBFish Maud Dib doesn’t ask for the throne. He doesn’t inherit the throne. Maid Dib takes the throne because that’s what he wants. #DaenerysTargaryen,"[{'text': 'DaenerysTargaryen', 'indices': [138, 156]}]"
MsSidereal,"🇮🇪🏳️‍🌈 she/they || dbd, silent hill, dmc, and dragon age trash. expect cats.",in the direction of deer,330,110,2960,2008-10-23 18:07:39,2020-09-02 01:20:43,157,"I know I'm so slow but Finally done. Wisteria match her eyes And glad to see Viserion and his brothers is getting bigger (even if it's hard to draw😭) 
#DaenerysTargaryen https://t.co/UwqRxsFQ6T",[]
TheRMFilm,Video edits | Archaeology & Ancient History Student | Watches too much TV...,England,418,231,3462,2017-03-24 16:00:28,2020-09-01 23:36:36,0,"“Duty is the death of love”
#GameOfThrones #DaenerysTargaryen #fanedit 

Daenerys Targaryen | Undone (GoT) https://t.co/48yq2EnISw via @YouTube","[{'text': 'GameOfThrones', 'indices': [28, 42]}, {'text': 'DaenerysTargaryen', 'indices': [43, 61]}, {'text': 'fanedit', 'indices': [62, 70]}]"
BexyBoo1997,"22 • Gamer, Artist and Mother of Dragons IRL • I live in the fandom world more than real life ✨",,92,87,2279,2015-11-17 23:16:38,2020-09-01 22:49:21,0,#NoSimpSeptember well shit... Yes the reality of my life is my true love for character that don’t exist 😭 #ShadowTheHedgehog #HiccupHaddock #DaenerysTargaryen #EllieWilliams #sonic #howtotrainyourdragon #gameofthrones #TLOU2 https://t.co/vPSeCO5xIJ,"[{'text': 'NoSimpSeptember', 'indices': [0, 16]}, {'text': 'ShadowTheHedgehog', 'indices': [106, 124]}, {'text': 'HiccupHaddock', 'indices': [125, 139]}, {'text': 'DaenerysTargaryen', 'indices': [140, 158]}, {'text': 'EllieWilliams', 'indices': [159, 173]}, {'text': 'sonic', 'indices': [174, 180]}, {'text': 'howtotrainyourdragon', 'indices': [181, 202]}, {'text': 'gameofthrones', 'indices': [203, 217]}, {'text': 'TLOU2', 'indices': [218, 224]}]"
